2023-11-19 22:21:20,661 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-11-19 22:21:20,677 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-11-19 22:21:20,677 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-11-19 22:21:20,677 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 201 - Setting up command manager
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 204 - Adding command manager
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-11-19 22:21:20,677 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-11-19 22:21:20,692 INFO  SwAddin.cs: 210 - Adding event handlers
2023-11-19 22:21:20,692 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-11-19 22:23:26,860 INFO  SwAddin.cs: 294 - Assembly export called for file asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,009 INFO  SwAddin.cs: 313 - Saving assembly
2023-11-19 22:23:28,378 INFO  SwAddin.cs: 316 - Opening property manager
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 42 in asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from asm_shank_urdf-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 57 in asm_shank_urdf-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in asm_shank_urdf-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from hip_torso_FL-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 91 in hip_torso_FL-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in hip_torso_FL-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from asm_leg_FL_thigh-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 41 in asm_leg_FL_thigh-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in asm_leg_FL_thigh-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 42 in asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [RefAxis] in asm_leg_FL_urdf2.SLDASM
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from asm_shank_urdf-1
2023-11-19 22:23:28,394 INFO  ExportHelperExtension.cs: 1136 - Found 57 in asm_shank_urdf-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [RefAxis] in asm_shank_urdf-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from hip_torso_FL-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1136 - Found 91 in hip_torso_FL-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [RefAxis] in hip_torso_FL-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from asm_leg_FL_thigh-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1136 - Found 41 in asm_leg_FL_thigh-1
2023-11-19 22:23:28,410 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [RefAxis] in asm_leg_FL_thigh-1
2023-11-19 22:23:29,118 INFO  SwAddin.cs: 339 - Loading config tree
2023-11-19 22:23:29,120 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-11-19 22:23:29,120 INFO  SwAddin.cs: 344 - Showing property manager
2023-11-19 22:23:35,054 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-11-19 22:23:43,759 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-11-19 22:23:46,504 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
